title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
Bump,2025-09-11,movie,79.0,1.0,1.0,Comedy,Janek Rieke,"Janek Rieke, Julia Hartmann, Max Giermann, Nilam Farooq, Gerdy Zint",DE,de,"Element e Filmproduktion, Aggro Krabben Hamburg","An absurd comedy about a couple whose perfect façade is becoming more and more cracked. Olli and Anja are a happy couple – but then Anja gets pregnant and her body releases hormones that turn her into a different person for a few weeks. A stressful person. Anja’s mood swings make Olli despair. Nine months later she goes into labour. On the way to the hospital, Anja accidentally meets Olli’s lover. And from then on, everything that can go wrong does go wrong.","rom-com, comedy, romance",0.0,0,"An absurd comedy about a couple whose perfect façade is becoming more and more cracked. Olli and Anja are a happy couple – but then Anja gets pregnant and her body releases hormones that turn her into a different person for a few weeks. A stressful person. Anja’s mood swings make Olli despair. Nine months later she goes into labour. On the way to the hospital, Anja accidentally meets Olli’s lover. And from then on, everything that can go wrong does go wrong. Comedy",0,0,0
Fracture,2025-12-01,movie,17.0,1.0,1.0,Drama,Robin Kalus,"Joshua Mehmet, Lulu Howes, Katy Carruthers, Zoran Gulaboski, Daniel Obando",AU,en,Australian Film Television and Radio School,"When a man faking a leg injury meets a woman pretending to be pregnant, they strike an unusual connection founded on shared dysfunction and a reluctance to face their past.","historical, drama",0.0,0,"When a man faking a leg injury meets a woman pretending to be pregnant, they strike an unusual connection founded on shared dysfunction and a reluctance to face their past. Drama",0,0,0
Confidante,2025-08-06,movie,76.0,1.0,1.0,Drama,"Çagla Zencirci, Guillaume Giovanetti","Saadet Işıl Aksoy, Erkan Kolçak Köstendil, Muhammet Uzuner, Elit Andaç Çam, İlber Uygar Kaboğlu","FR, LU, TR",tr,"Les Films du Tambour, 3B Productions, Bidibul Productions, İİ Film","Ankara, 1999. Arzu takes one call after another in the sex call centre where she works. When an earthquake hits Istanbul, a young client she spoke to earlier phones her back, begging her to rescue him from the rubble.",drama,0.0,0,"Ankara, 1999. Arzu takes one call after another in the sex call centre where she works. When an earthquake hits Istanbul, a young client she spoke to earlier phones her back, begging her to rescue him from the rubble. Drama",0,0,0
Entropy,2025-12-04,movie,95.0,1.0,1.0,"Thriller, Science Fiction",Vadim Bolbot,"Inja Zalta, Tyler Tackett, Domen Valič, Miles Ley, Ryan Wichert",CY,en,Cyprus Cinema Studio,"Emi Thorn, the daughter of a notorious serial killer, finds herself trapped in a time loop, where she faces the horrific crimes of her father. The small, quiet town she once called home has become an endless battleground. Will she end up as her father's next victim, or is the truth way more complicated than the memories of her childhood?","time travel, cultists, father and daughter",0.0,0,"Emi Thorn, the daughter of a notorious serial killer, finds herself trapped in a time loop, where she faces the horrific crimes of her father. The small, quiet town she once called home has become an endless battleground. Will she end up as her father's next victim, or is the truth way more complicated than the memories of her childhood? Thriller, Science Fiction",0,0,0
The Stained Stainlessman,2025-07-01,movie,33.0,1.0,1.0,"Comedy, Drama",McKenzie Alexander,"Mia Jenkins, Christian Stevens, Will Gibson, Millie Kent, Charleen Elea",GB,en,Not Thought Through Productions,A young man's life is abruptly thrown into disarray when the girl he loses his virginity to accuses him of rape.,"dark comedy, oxford, coming of age, university, sexual assault, university student",0.0,0,"A young man's life is abruptly thrown into disarray when the girl he loses his virginity to accuses him of rape. Comedy, Drama",0,0,0
The Ghost Story.,2025-11-20,movie,84.0,1.0,1.0,"Documentary, Horror, Thriller, Drama, Fantasy",Nicolás de Jesús,"Luis Miguel Callejas, Nicolás de Jesús, Sergio Yeudiel, Patricia Caballero, Christel Caballero",MX,en,"Walt Nick's Pictures, MAVV, A. J. Luna Producciones","Everyone in town knows Simón's story, because like a rumor or an urban legend, it has been spreading among its inhabitants, the few who believe him and those who question everything about his story... But Simón will clear up doubts, recounting what happened during those supernatural events...","only child, growing up, loneliness, fake documentary, disbelieving adult, 1990s, late coming of age, 2010s, urban legends",0.0,0,"Everyone in town knows Simón's story, because like a rumor or an urban legend, it has been spreading among its inhabitants, the few who believe him and those who question everything about his story... But Simón will clear up doubts, recounting what happened during those supernatural events... Documentary, Horror, Thriller, Drama, Fantasy",0,0,0
Revelations of Divine Love,2025-07-09,movie,73.0,1.0,1.0,"Drama, History",Caroline Golum,"Tessa Strain, Theodore Bouloukos",US,en,unknown,"Between pandemics, people’s revolts and male institutions, this period film cheekily combines fantastic psychedelia and handmade sets. Inspired by the life story of Julian of Norwich, a 14th-century mystic and the first woman to write a book in English.","trending-theme, historical, drama",0.0,0,"Between pandemics, people’s revolts and male institutions, this period film cheekily combines fantastic psychedelia and handmade sets. Inspired by the life story of Julian of Norwich, a 14th-century mystic and the first woman to write a book in English. Drama, History",1,0,0
The Deafening Sound of Silence,2025-06-23,movie,27.0,1.0,1.0,Drama,Sameer Monn,"Josh Lai, Hafeezah Hawa, Vincent Low",MY,en,unknown,"Following the disappearance of his best friend, a boy is haunted by a ghost who speaks in a language he cannot understand.","bilingual, drama",0.0,0,"Following the disappearance of his best friend, a boy is haunted by a ghost who speaks in a language he cannot understand. Drama",1,0,0
Out of Love,2025-12-03,movie,111.0,1.0,1.0,Drama,Nathan Ambrosioni,"Camille Cottin, Juliette Armanet, Monia Chokri, Manoâ Varvat, Nina Birman",FR,fr,Chi-Fou-Mi Productions,"After many years, Suzanne and her two children unexpectedly show up at the home of her sister Jeanne. It initially looks like Suzanne is tentatively attempting to re-establish a relationship with her sister. But this illusion is shattered with the morning light: Suzanne is gone…","family, drama, romance",0.0,0,"After many years, Suzanne and her two children unexpectedly show up at the home of her sister Jeanne. It initially looks like Suzanne is tentatively attempting to re-establish a relationship with her sister. But this illusion is shattered with the morning light: Suzanne is gone… Drama",0,0,0
Boarding,2025-07-26,movie,11.0,1.0,1.0,Drama,Kenzi Maska,"Rafif Ruchiat, Ahmad Fauzi, Alden Nabih, Rahmat Zulfikri, Panji Darojatun",ID,id,Starchildd Films,"Apip, a teenage cinephile, is forced to go to school in an Islamic boarding school by his mother for being ""too free."" In his final year, he discovers a golden opportunity: a national short film competition. But rigid school rules stand in his way, forcing Apip to choose between his passion and institutional demands.","coming of age, school, boys' boarding school, graduate school, islamic boarding school, cinephile, school pressure",0.0,0,"Apip, a teenage cinephile, is forced to go to school in an Islamic boarding school by his mother for being ""too free."" In his final year, he discovers a golden opportunity: a national short film competition. But rigid school rules stand in his way, forcing Apip to choose between his passion and institutional demands. Drama",0,0,0
The Last Twins,2025-06-06,movie,80.0,1.0,1.0,"History, Documentary","Perri Peltz, Matthew O'Neill","Liev Schreiber, Dr. Judith Richter",US,en,Zuli Productions Ltd.,"The Last Twins is the never-before-told story of an unsung hero of the Holocaust, Erno “Zvi” Spiegel, who risked everything to save dozens of young twins from almost certain death at Auschwitz. Under the shadow of Dr. Josef Mengele’s horrific experiments, Spiegel used his courage, compassion, and ingenuity to shield the most vulnerable—the sets of twins targeted for brutal medical experimentation. Mengele put Spiegel in charge of the young boys, but Spiegel used his position to protect and comfort the children, all of whom had been torn from their families and subjected to inhumane tests under the constant threat of extermination.  Through first-hand testimony and exclusive archival material, The Last Twins brings to life the voices of those who survived because of Spiegel’s defiance. It is a testament to resilience, sacrifice, and the power of one person to make a difference, even in humanity’s darkest hour.","family, drama, historical, courtroom, superhero, noir",0.0,0,"The Last Twins is the never-before-told story of an unsung hero of the Holocaust, Erno “Zvi” Spiegel, who risked everything to save dozens of young twins from almost certain death at Auschwitz. Under the shadow of Dr. Josef Mengele’s horrific experiments, Spiegel used his courage, compassion, and ingenuity to shield the most vulnerable—the sets of twins targeted for brutal medical experimentation. Mengele put Spiegel in charge of the young boys, but Spiegel used his position to protect and comfort the children, all of whom had been torn from their families and subjected to inhumane tests under the constant threat of extermination.  Through first-hand testimony and exclusive archival material, The Last Twins brings to life the voices of those who survived because of Spiegel’s defiance. It is a testament to resilience, sacrifice, and the power of one person to make a difference, even in humanity’s darkest hour. History, Documentary",0,0,0
Génesis,2025-06-01,movie,14.0,1.0,1.0,Drama,Nicolás Núñez Fernández,"Francisca De La Fuente, Sofía Lepeley",CL,es,21Room Studios,"In an inner world suspended between oblivion and creation, a female figure moves through a dreamlike space where forgotten ideas take shape. Genesis is an experimental piece that explores the journey toward the origin of an idea — of oneself.","genesis, creative crisis, surrealism, chile, black and white, creative process, valparaiso, chile, experimental, experimental cinema, indie, amateur filmmaking aesthetic, cortometraje, cine independiente, shortfilm, indipendent movie, duocuc",9.0,1,"In an inner world suspended between oblivion and creation, a female figure moves through a dreamlike space where forgotten ideas take shape. Genesis is an experimental piece that explores the journey toward the origin of an idea — of oneself. Drama",0,0,0
The Transgender Puppet Variety Show,2025-07-10,movie,29.0,1.0,1.0,"Comedy, Music",Artemis Hatfield,"Artemis Hatfield, Will Sibley, Robin G Smith, Celeste Madden, Fay Fragon",GB,en,Artemis Hatfield Productions,Come and join Eleutheria the Puppet and her fluffy friends at The Transgender Puppet Variety Show.,"musical, puppet, puppet show, queer activism, transgender rights, queer, original musical, transgender, comedy, transgender director",0.0,0,"Come and join Eleutheria the Puppet and her fluffy friends at The Transgender Puppet Variety Show. Comedy, Music",0,0,0
The Pines Still Whisper,2025-09-12,movie,87.0,1.0,1.0,"Horror, Thriller, Drama, Science Fiction",Jamie Knox,"India Shaw-Smith, Idalina Leandro, Harris Bailey, Stephen Bainborough",US,en,unknown,"In a remote cabin, Penny lives under Claire’s strict rules. Told it’s for her safety, Penny begins to question everything as dark secrets emerge, unraveling the truth her mother tried to hide.","thriller, drama, adventure, noir, horror",0.0,0,"In a remote cabin, Penny lives under Claire’s strict rules. Told it’s for her safety, Penny begins to question everything as dark secrets emerge, unraveling the truth her mother tried to hide. Horror, Thriller, Drama, Science Fiction",1,0,0
Misteri Fraser 1910,2025-06-26,movie,98.0,1.0,1.0,Horror,Shuhaimi Zulkefli,"Josiah Hogan, Siti Hariesa, Amai Kamarudin, Isyariana, Ery Putra",MY,ms,"Millionaire Films Production, Empire Film Solution","The story inspired by the mysterious disappearance of Louis James Fraser, popularly known as the founder of Fraser’s Hill, Pahang.","startup, horror",0.0,0,"The story inspired by the mysterious disappearance of Louis James Fraser, popularly known as the founder of Fraser’s Hill, Pahang. Horror",0,0,0
Light Bunny,2025-08-01,movie,15.0,1.0,1.0,Drama,Valerian Zamel,"Karole Foreman, Eric B. Anthony, Eric Davis, Ethan Smith",US,en,unknown,"A grieving mother receives a mysterious phone call from her deceased son, but their heartfelt reunion takes a dark turn when he asks her to fulfill a difficult request.","grief, drama",0.0,0,"A grieving mother receives a mysterious phone call from her deceased son, but their heartfelt reunion takes a dark turn when he asks her to fulfill a difficult request. Drama",1,0,0
On Sonder Hill,2025-06-11,movie,15.0,1.0,1.0,"Drama, Music",Jacob Perkins,"David Mason, James Sprague, Mark Arfur, Lauren Stokes, Emily Ash",GB,en,Switch/On Studios,"In a 70s landscape of theatre, a charming dream-chaser says hello to the love of his life for the first time. 50 years later, a simple hill is preventing him from saying goodbye.","coming-of-age, action, psychological, drama, romance, rom-com, musical",0.0,0,"In a 70s landscape of theatre, a charming dream-chaser says hello to the love of his life for the first time. 50 years later, a simple hill is preventing him from saying goodbye. Drama, Music",0,0,0
Manicouagan,2025-06-06,movie,101.0,1.0,1.0,Documentary,Nadine Beaudet,unknown,CA,fr,Les vues du fleuve,"Driven by an intimate quest, this choral film reveals the meeting of individuals who inhabit the territory of Manicouagan and who together contribute to defining its geomorphological and socio-cultural imprints through time in a dreamlike manner.","territory, innu, hydroelectric dam, cote-nord",0.0,0,"Driven by an intimate quest, this choral film reveals the meeting of individuals who inhabit the territory of Manicouagan and who together contribute to defining its geomorphological and socio-cultural imprints through time in a dreamlike manner. Documentary",0,1,0
The White Ship,2025-06-19,movie,97.0,1.0,1.0,Drama,Inga Shepeleva,"Ella Sokolova, Alexander Koshkidko, Roman Atlasov","RU, FR",ru,"Saydam Baryl, Kinoprime Foundation, Studio Otkrytie, Limitless Films, Mimesis",A teacher at a Yakut music school must make a choice between a sacred song from the dark past and love that heralds a bright future.,"drama, romance, rom-com, sci-fi, musical, noir",0.0,0,A teacher at a Yakut music school must make a choice between a sacred song from the dark past and love that heralds a bright future. Drama,0,0,0
One X Two,2025-07-04,movie,87.0,1.0,1.0,Comedy,Alberto Utrera,"Paco León, Raúl Tejón, Stéphanie Magnin, Adam Jezierski, Kimberley Tell",ES,es,"Garajonay Producciones, Buendía Estudios","Two old friends have been betting on the football pool since college. They meet up one weekend where everyone seems happy, but the possibility of hitting the jackpot and becoming millionaires grows increasingly real.","sports, comedy, documentary, campus",0.0,0,"Two old friends have been betting on the football pool since college. They meet up one weekend where everyone seems happy, but the possibility of hitting the jackpot and becoming millionaires grows increasingly real. Comedy",0,0,0
It's Dorothy!,2025-06-07,movie,100.0,1.0,1.0,Documentary,Jeffrey McHale,"Ashanti, Fairuza Balk, Danielle Hope, Nichelle Lewis, Shanice Shantay",US,en,unknown,"Since her first adventure in L. Frank Baum’s classic “The Wonderful Wizard of Oz,” Dorothy Gale has been on countless more journeys, reintroduced and reimagined in exciting ways, and become a cultural touchpoint for many. In her 125th year, her legacy is explored in this joyous and engaging documentary.","startup, military, adventure, nostalgic, comedy, fantasy",0.0,0,"Since her first adventure in L. Frank Baum’s classic “The Wonderful Wizard of Oz,” Dorothy Gale has been on countless more journeys, reintroduced and reimagined in exciting ways, and become a cultural touchpoint for many. In her 125th year, her legacy is explored in this joyous and engaging documentary. Documentary",1,0,0
Pasa Faho,2025-08-16,movie,86.0,1.0,1.0,"Drama, Family, Comedy",Kalu Oji,"Okey Bakassi, Tyson Palmer, Laureta Idika Uduma, Idika Mba Uduma, Mmesoma Aboh",AU,en,TEN DAYS,A struggling shoe salesman and his 12 year old son must rekindle their estranged identities or risk losing everything.,"comedy, drama",0.0,0,"A struggling shoe salesman and his 12 year old son must rekindle their estranged identities or risk losing everything. Drama, Family, Comedy",0,0,0
Look At Me Now,2025-06-12,movie,6.0,1.0,1.0,Drama,Naz Ismail,"Naz Ismail, Thom Welsh, Ryan Rhodes, Mason Johnson",GB,en,unknown,"After a job interview forces him to confront the truth of his future, a man battling depression begins taking small, meaningful steps towards healing.","action, drama, historical, sci-fi, documentary",7.0,1,"After a job interview forces him to confront the truth of his future, a man battling depression begins taking small, meaningful steps towards healing. Drama",1,0,0
Welcome To Fredbear's,2025-07-18,movie,78.0,1.0,1.0,Horror,"Thats Tiny, LGodd","Thats Tiny, KEG-83, LGodd, thatzzzkid",US,en,Thats Tiny Movies,"Welcome to Fredbear’s follows three ghost hunters—Kevin, Mari, and Andrew—who explore the abandoned Fredbear’s Family Diner after its sudden shutdown. What starts as a routine investigation turns deadly when the animatronics begin to free roam—leaving the pizzeria and targeting the trio. As the robots hunt them down and slaughter anyone in their path, the ghost hunters must uncover the truth behind Fredbear’s dark past before they become its next victims.","drama, adventure, detective, sci-fi, comedy, noir, horror",0.0,0,"Welcome to Fredbear’s follows three ghost hunters—Kevin, Mari, and Andrew—who explore the abandoned Fredbear’s Family Diner after its sudden shutdown. What starts as a routine investigation turns deadly when the animatronics begin to free roam—leaving the pizzeria and targeting the trio. As the robots hunt them down and slaughter anyone in their path, the ghost hunters must uncover the truth behind Fredbear’s dark past before they become its next victims. Horror",0,0,0
Niagra fall,2025-06-30,movie,60.0,1.0,1.0,"Documentary, History",unknown,Isaac Sherlock,CA,en,Isaac Sherlock films,Documentary about the history of Niagra falls,historical,0.0,0,"Documentary about the history of Niagra falls Documentary, History",0,0,1
Exhibition on Screen: Caravaggio,2025-11-11,movie,90.0,1.0,1.0,,"David Bickerstaff, Phil Grabsky",unknown,US,en,unknown,"Five years in production, this is the most extensive film ever made about one of the greatest artists of all time – Caravaggio. Featuring masterpiece after masterpiece and with first-hand testimony from the artist himself on the eve of his mysterious disappearance, this beautiful new film reveals Caravaggio as never before. Multi-award-winning filmmakers David Bickerstaff and Phil Grabsky delve into the hidden narratives of Caravaggio’s life, piecing together clues embedded within his incredible art. The intriguing self-depictions within his works — sometimes disguised, sometimes in plain sight — offer a rare window into his psyche and personal struggles. Join us as we unravel the story of one of history’s most brilliant, complex and controversial figures.","painter, art, exhibition on screen",0.0,0,"Five years in production, this is the most extensive film ever made about one of the greatest artists of all time – Caravaggio. Featuring masterpiece after masterpiece and with first-hand testimony from the artist himself on the eve of his mysterious disappearance, this beautiful new film reveals Caravaggio as never before. Multi-award-winning filmmakers David Bickerstaff and Phil Grabsky delve into the hidden narratives of Caravaggio’s life, piecing together clues embedded within his incredible art. The intriguing self-depictions within his works — sometimes disguised, sometimes in plain sight — offer a rare window into his psyche and personal struggles. Join us as we unravel the story of one of history’s most brilliant, complex and controversial figures. ",1,1,0
I Want to Feel Fun,2025-06-13,movie,9.0,1.0,1.0,"Comedy, Drama",Jessica Sanders,"Esther Povitsky, Simon Rex, Avi Rothman, Vivian Bang, Dugan O'Neal",US,en,Altina Films,"One day in Los Angeles in search of love, connection and Nicki Minaj.","rom-com, comedy, drama, romance",0.0,0,"One day in Los Angeles in search of love, connection and Nicki Minaj. Comedy, Drama",0,0,0
The Last Class,2025-06-13,movie,71.0,1.0,1.0,Documentary,Elliot Kirschner,Robert Reich,US,en,"CoffeeKlatch Productions, Inequality Media Civic Action","American political economist, professor, author, and social media sensation Robert Reich teaches his final ""Wealth and Poverty"" class to 1,000 students at UC Berkeley, ending a 40-year career that reached 40,000 students. One thousand fill the biggest lecture hall on the UC Berkeley campus, the last class to receive Reich's wisdom and exhortations not to accept that the world has to stay the way it is. His belief in the next generation's ability to take on the fight is inspiring.","feel-good, action, campus, social-issue",0.0,0,"American political economist, professor, author, and social media sensation Robert Reich teaches his final ""Wealth and Poverty"" class to 1,000 students at UC Berkeley, ending a 40-year career that reached 40,000 students. One thousand fill the biggest lecture hall on the UC Berkeley campus, the last class to receive Reich's wisdom and exhortations not to accept that the world has to stay the way it is. His belief in the next generation's ability to take on the fight is inspiring. Documentary",0,0,0
Jean Jacket,2025-06-13,movie,13.0,1.0,1.0,Comedy,"Maxim Nebeker, Lucy Nebeker","AnnaSophia Robb, Tony Revolori, Michael Gaston, Megan Byrne, Andrew Kay",US,en,unknown,Jean Jacket needs to win big at the lottery to get back her dreams. Will today be the day her number is drawn?,"animation, comedy, psychological",0.0,0,Jean Jacket needs to win big at the lottery to get back her dreams. Will today be the day her number is drawn? Comedy,1,0,0
Rise,2025-06-08,movie,22.0,1.0,1.0,Drama,Jessica J. Rowlands,"Tongayi Chirisa, Prudence Mubaiwa, Tobias Mupfuti, Edmet Dube, Charles Ndlovu",ZW,en,unknown,A charismatic young boy who lives on a rubbish dump in Zimbabwe must convince a reclusive boxing coach to teach him to fight in order to find safety and strength in a world that has left him behind.,"sports, action, drama",0.0,0,A charismatic young boy who lives on a rubbish dump in Zimbabwe must convince a reclusive boxing coach to teach him to fight in order to find safety and strength in a world that has left him behind. Drama,1,0,0
Nicolás de Jesús' Now You See Me...,2025-09-09,movie,122.0,1.0,1.0,"Comedy, Drama, Thriller, Mystery",Nicolás de Jesús,"Alexis Adrián, Fredy Roque, Nicolás de Jesús, Mariel Landeros, Axel Mata",MX,es,"Walt Nick's Pictures, MAVV, Ahora Me Ves... Producciones, A. J. Luna Producciones","Struggling fair owner Kesselring (Nicolás de Jesús) is given a unique opportunity to restore the fair to its former glory when his friend Dr. Goodkat (Fredy Roque) introduces him to Marcus Kelevra (Alexis Adrián), a man whose mysterious act will draw people back to the fair, at a deadly cost, and even sparking interest among his fellow fairgoers.","circus freak, dark fantasy, neo-noir, 1940s, experimental surgery, artistic rivalry, mago, feria, noir, gatos",0.0,0,"Struggling fair owner Kesselring (Nicolás de Jesús) is given a unique opportunity to restore the fair to its former glory when his friend Dr. Goodkat (Fredy Roque) introduces him to Marcus Kelevra (Alexis Adrián), a man whose mysterious act will draw people back to the fair, at a deadly cost, and even sparking interest among his fellow fairgoers. Comedy, Drama, Thriller, Mystery",0,0,0
El pozo,2025-07-23,movie,2.0,1.0,1.0,"Thriller, Mystery",Elizabeth Gaviria,unknown,CO,es,unknown,Some grandmother's stories are never forgotten. Sofi's older sister's skin crawls when something on the radio reminds her of an old story: the well. The problem is that she has just sent little Sofia out to fetch firewood... right by that spot.,"psychological, thriller",0.0,0,"Some grandmother's stories are never forgotten. Sofi's older sister's skin crawls when something on the radio reminds her of an old story: the well. The problem is that she has just sent little Sofia out to fetch firewood... right by that spot. Thriller, Mystery",1,1,0
We Believe You,2025-11-12,movie,78.0,1.0,1.0,Drama,"Arnaud Dufeys, Charlotte Devillers","Myriem Akheddiou, Laurent Capelluto, Natali Broods, Ulysse Goffin, Adèle Pinckaers",BE,fr,Makintosh Films,"Today, Alice stands before a judge, knowing there is no room for error. She must speak up for her children, as her custody is being called into question. Can she protect them from their father before it is too late?","family, drama, adventure, courtroom",0.0,0,"Today, Alice stands before a judge, knowing there is no room for error. She must speak up for her children, as her custody is being called into question. Can she protect them from their father before it is too late? Drama",0,0,0
Canned,2025-06-09,movie,6.0,1.0,1.0,"Thriller, Drama",Fred The Film Guy,"Rohan Thomas, Harry Poulton, Finn McCarney",GB,en,"W Palms, Alenja Productions","A young, excitable reporter's work partner goes radio silent while interviewing residents of a small, desolate town. Determined to find him, the reporter sets out on a mission to track down a closeted serial killer known as ""The Baron,"" whom his partner was investigating. However, the search becomes increasingly difficult as the town appears lifeless, and his partner remains nowhere to be found.","serial killer, desolation, town, horror, sinister",0.0,0,"A young, excitable reporter's work partner goes radio silent while interviewing residents of a small, desolate town. Determined to find him, the reporter sets out on a mission to track down a closeted serial killer known as ""The Baron,"" whom his partner was investigating. However, the search becomes increasingly difficult as the town appears lifeless, and his partner remains nowhere to be found. Thriller, Drama",0,0,0
Put Your Soul on Your Hand and Walk,2025-09-24,movie,110.0,1.0,1.0,Documentary,Sepideh Farsi,"Fatima Hassouna, Sepideh Farsi","FR, IR, PS",en,"Water Dreams, 24images","Put your soul on your hand and walk  was my response as a filmmaker, to the ongoing massacre of the Palestinians. My personal way not to lose my sanity. A miracle happened when I met Fatem through a Palestinian friend. Ever since, she became my eyes in Gaza, while surviving under the bombs and documenting the war. And I, became her connection to the outside world, from her Gaza prison, as she puts it. We kept this line of life going for more than 200 days. The bits of pixels and sounds that we exchanged constitute the film that you see. Fatem's assassination on April 16, 2025, following an Israeli attack on her home has forever changed its meaning.","palestinian-israeli conflict, palestine, war crimes, anti-apartheid, freedom fighters, palestinian, documentary, nakba (catastrophe), israeli war crimes, palestinian genocide, journalist murder, proxy war, geopolitical conflict, testimonial movie",0.0,0,"Put your soul on your hand and walk  was my response as a filmmaker, to the ongoing massacre of the Palestinians. My personal way not to lose my sanity. A miracle happened when I met Fatem through a Palestinian friend. Ever since, she became my eyes in Gaza, while surviving under the bombs and documenting the war. And I, became her connection to the outside world, from her Gaza prison, as she puts it. We kept this line of life going for more than 200 days. The bits of pixels and sounds that we exchanged constitute the film that you see. Fatem's assassination on April 16, 2025, following an Israeli attack on her home has forever changed its meaning. Documentary",0,0,0
Night Stage,2025-12-11,movie,117.0,1.0,1.0,"Drama, Thriller, Romance","Marcio Reolon, Filipe Matzembacher","Gabriel Faryas, Cirillo Luna, Henrique Barreira, Ivo Müller, Larissa Sanguiné",BR,pt,"Vulcana Cinema, Avante Filmes","An actor and a politician start a secret affair and together discover their fetish for having sex in public places. The closer they get to their dream of fame, the more they feel the urge to put themselves at risk.","psychological, drama, romance, thriller",0.0,0,"An actor and a politician start a secret affair and together discover their fetish for having sex in public places. The closer they get to their dream of fame, the more they feel the urge to put themselves at risk. Drama, Thriller, Romance",0,0,0
Breakwater,2025-06-18,movie,91.0,1.0,1.0,Drama,Max Morgan,"Daniel McNamee, Shaun Paul McGrath, William Gao, Agnes Halladay, Noah Radcliffe-Adams",GB,en,unknown,"Set between the sandstone colleges of Oxford and the salt-encrusted Suffolk coast, Breakwater follows the tentative romance between university student, Otto, and retired angler, John. Their lives fuse irreversibly over the shared trauma of losing a loved one, however, their relationship darkens when the past exhumes itself in the form of guilt, grief, and ghosts.","campus, drama, romance, rom-com, noir, horror",0.0,0,"Set between the sandstone colleges of Oxford and the salt-encrusted Suffolk coast, Breakwater follows the tentative romance between university student, Otto, and retired angler, John. Their lives fuse irreversibly over the shared trauma of losing a loved one, however, their relationship darkens when the past exhumes itself in the form of guilt, grief, and ghosts. Drama",1,0,0
And it Begins,2025-12-27,movie,45.0,1.0,1.0,"Crime, Romance, Drama, Thriller",Madison LLorente,"Thomas Wesley Evans, Angelina Lewis, Tristan Hunter, Ian Burrell, James Houston",US,en,unknown,"In the wake of their father's death, Capomandameto ANGUS: SILAS and ALESSIO course through up keeping their father's legacy and the end of their adolescence. SILAS' path though gets interrupted by a poised and curious ANTONELLA.","mafia, father son conflict, romeo & juliet",0.0,0,"In the wake of their father's death, Capomandameto ANGUS: SILAS and ALESSIO course through up keeping their father's legacy and the end of their adolescence. SILAS' path though gets interrupted by a poised and curious ANTONELLA. Crime, Romance, Drama, Thriller",1,0,0
The Girls We Want,2025-07-16,movie,93.0,1.0,1.0,Drama,Prïncia Car,"Houssam Mohamed, Leïa Haichour, Lou Anna Hamon, Kader Benchoudar, Mortadha Hasni",FR,fr,"France 3 Cinéma, Zinc, After Hours Production","Marseille, the holidays. Omar, 20, oversees the children summer camp with his longtime friends. The adolescents are full of dreams, principles, and prejudices. When Carmen returns after years being away, the group dynamic is put to the test. In a group where reputation is everything, the electric and free spirit Carmen triggers everyone to question his own belief, desire, and sexuality.","psychological, family, drama, adventure, ensemble, folklore",0.0,0,"Marseille, the holidays. Omar, 20, oversees the children summer camp with his longtime friends. The adolescents are full of dreams, principles, and prejudices. When Carmen returns after years being away, the group dynamic is put to the test. In a group where reputation is everything, the electric and free spirit Carmen triggers everyone to question his own belief, desire, and sexuality. Drama",0,0,0
In the Glow of Darkness,2025-08-22,movie,80.0,1.0,1.0,Science Fiction,Tucker Bennett,"Lucas Bennett, Groovin ., Li Ming Hu, Samantha Dela Cruz, Jared Whitham",US,en,unknown,"Intersecting stories unfold in the cyberpunk city of San Zokyo, where a young hacker takes on the corporation behind Meme, a drug that mines users’ psyches to deliver personalized psychedelic trips and hyper-targeted ads.",cyberpunk,0.0,0,"Intersecting stories unfold in the cyberpunk city of San Zokyo, where a young hacker takes on the corporation behind Meme, a drug that mines users’ psyches to deliver personalized psychedelic trips and hyper-targeted ads. Science Fiction",1,0,0
The Last Round,2025-06-05,movie,8.0,1.0,1.0,Drama,Julio Cesar Silva,"Frida Alcántara, Roberto Muñoz, Isabel Ruíz",MX,es,"UNAM, Escuela Nacional de Artes Cinematográficas (ENAC)","Carmela, a 50 years old tough lady, wakes up in a crumbling, cantina, her head pounding and memories hazy. Confused and disoriented, she confronts Agustín, the enigmatic bartender who seems to know more than he lets on. He helps her remember fragments of the night before that led her to this desolate place. As the truth unfolds, Carmela must face the painful reality of who truly deceived her.","mexico city, mexico, period, lesbian",0.0,0,"Carmela, a 50 years old tough lady, wakes up in a crumbling, cantina, her head pounding and memories hazy. Confused and disoriented, she confronts Agustín, the enigmatic bartender who seems to know more than he lets on. He helps her remember fragments of the night before that led her to this desolate place. As the truth unfolds, Carmela must face the painful reality of who truly deceived her. Drama",0,0,0
Lingerfield,2025-06-06,movie,3.0,1.0,1.0,Horror,Joel Johnson,"Christopher Leaman, Catherine Huckle",GB,en,JJ MEDIA,"Whilst aimlessly browsing the web,  an unsuspecting man stumbles upon a terrifying truth that begins to unravel his reality.","documentary, horror",0.0,0,"Whilst aimlessly browsing the web,  an unsuspecting man stumbles upon a terrifying truth that begins to unravel his reality. Horror",0,0,0
